Order ID,Invoice ID,New Invoice ID,Invoice Reference Number (IRN),Shipment date,Invoice date,GST ID,ASIN,SKU,Item Title,Quantity,Item Cost,GST Rate,CESS Rate,HSN,Warehouse Code/Name,Status,Tax Collected at Source (TCS)
UXs9DmV4t,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1FJR0VZt,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UgTvcrVxt,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6zzmQbBt,UXHVwdb9t-203x,INVOICE0003,,2 Mar  2024 2:17:51 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6wx2LgJt,UXHVwdb9t-203x,INVOICE0003,,6 Mar  2024 2:27:42 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UVJzcCVst,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U6JztzV0t,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UGBGnMB4t,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UXHVwdb9t,UXHVwdb9t-203x,INVOICE0003,,2 Mar  2024 2:17:51 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UCztsNZVt,UXHVwdb9t-203x,INVOICE0003,,2 Mar  2024 2:17:51 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UV5qlCDht,UXHVwdb9t-203x,INVOICE0003,,8 Mar  2024 2:33:59 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0BBRF9286,VKAMLIGHT0258,Autofy Aluminium Airplane Light (7 Colors) Waterproof Universal Warning Signal Blinker Led Strobe Rechargeable Safety Light For Bike Motorcycles Cars Bicycle Drones Helmet (Pack Of 2),1,Rs.100.00,12%,0%,85122110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1fx3sMVt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8FT1C7,B08V8FT1C7,Autofy Multipurpose Microfiber 800 GSM Pack of 3-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UNg2lhMlt,UXHVwdb9t-203x,INVOICE0003,,7 Mar  2024 12:48:32 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1ljc3V2t,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0BBRF9286,VKAMLIGHT0258,Autofy Aluminium Airplane Light (7 Colors) Waterproof Universal Warning Signal Blinker Led Strobe Rechargeable Safety Light For Bike Motorcycles Cars Bicycle Drones Helmet (Pack Of 2),1,Rs.100.00,12%,0%,85122110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
UNZtQ7Mkt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
U1Jc5y2vt,UXHVwdb9t-203x,INVOICE0003,,5 Mar  2024 2:57:26 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0CS6VJF8T,VKAMCLEANER0054,AUTOGUYS MAJIKO-4 Soft Microfiber Car Duster Car Brush for Car Cleaning Car Surface Wet & Dry Duster Multipurpose (Extendable) Dusting Brush ‎(Assorted Colour),1,Rs.100.00,12%,0%,96039100,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Un2VZHDXt,UXHVwdb9t-203x,INVOICE0003,,8 Mar  2024 2:33:59 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B08V8Y4BVF,B08V8Y4BVF,Autofy Multipurpose Microfiber 800 GSM Pack of 2-40cm x 40cm Cleaning Towel Microfibre Cloth Highly Absorbent Dust Towels for All Vehicles Bikes Cars Glass Kitchens - Multicolour,1,Rs.100.00,12%,0%,63071110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
Unyrj5Vst,UXHVwdb9t-203x,INVOICE0003,,4 Mar  2024 3:10:55 PM IST,8 Mar  2024 8:40:30 PM IST,07AAFCV4903R1ZR,B0BBRF9286,VKAMLIGHT0258,Autofy Aluminium Airplane Light (7 Colors) Waterproof Universal Warning Signal Blinker Led Strobe Rechargeable Safety Light For Bike Motorcycles Cars Bicycle Drones Helmet (Pack Of 2),1,Rs.100.00,12%,0%,85122110,EIHR/Vendorskart Online Services Pvt Ltd,Non-submitted,0
